POIL,CPI,OILPROD,OILSTOCKS,WORLDIP,IP
2.97,29.37,NaN,NaN,20.17093,25.0061
2.97,29.41,NaN,NaN,20.18242,24.7836
2.97,29.41,NaN,NaN,20.19252,24.5611
2.97,29.54,NaN,NaN,20.19722,24.3664
2.97,29.57,NaN,NaN,20.20811,24.3386
2.97,29.61,NaN,NaN,20.15265,24.0326
2.97,29.55,NaN,NaN,20.27597,23.9492
2.97,29.61,NaN,NaN,20.25908,23.9213
2.97,29.61,NaN,NaN,20.29386,23.671
2.97,29.75,NaN,NaN,20.37612,23.6432
2.97,29.78,NaN,NaN,20.27078,23.3094
2.97,29.81,NaN,NaN,20.1785,22.8643
2.97,29.84,NaN,NaN,20.28481,22.8922
2.97,29.84,NaN,NaN,20.35952,22.8643
2.97,29.84,NaN,NaN,20.50044,23.0034
2.97,29.81,NaN,NaN,20.72402,23.4763
2.97,29.84,NaN,NaN,20.80873,23.8379
2.97,29.84,NaN,NaN,21.03175,24.1717
2.97,29.92,NaN,NaN,21.30863,24.4498
2.97,29.94,NaN,NaN,21.37027,24.6723
2.97,29.98,NaN,NaN,21.40311,24.6446
2.97,29.98,NaN,NaN,21.65081,25.1174
2.97,29.98,NaN,NaN,21.85324,25.5068
2.97,30.01,NaN,NaN,22.12722,25.7293
2.97,30.04,NaN,NaN,22.1513,25.5068
2.97,30.11,NaN,NaN,22.34849,25.924
2.97,30.17,NaN,NaN,22.46309,26.0631
2.97,30.21,NaN,NaN,22.40931,26.1188
2.97,30.24,NaN,NaN,22.58254,26.0909
2.97,30.21,NaN,NaN,22.51707,26.0353
2.97,30.22,NaN,NaN,22.69722,26.2856
2.97,30.28,NaN,NaN,22.8609,26.3135
2.97,30.42,NaN,NaN,22.83672,26.4804
2.97,30.38,NaN,NaN,22.8043,26.5082
2.97,30.38,NaN,NaN,22.97882,26.6194
2.97,30.38,NaN,NaN,22.90204,26.6194
2.97,30.44,NaN,NaN,22.97433,26.8141
2.97,30.48,NaN,NaN,23.08765,27.1201
2.97,30.51,NaN,NaN,23.13765,27.287
2.97,30.48,NaN,NaN,23.57847,27.5374
2.97,30.51,NaN,NaN,23.88575,27.8711
2.97,30.61,NaN,NaN,23.96843,27.9546
2.97,30.69,NaN,NaN,24.10007,27.8433
2.97,30.75,NaN,NaN,24.37216,27.899
2.97,30.72,NaN,NaN,24.42542,28.1771
2.97,30.75,NaN,NaN,24.67034,28.3718
2.97,30.78,NaN,NaN,24.82912,28.5109
2.97,30.88,NaN,NaN,24.78067,28.4553
2.97,30.94,NaN,NaN,25.20992,28.7056
2.97,30.91,NaN,NaN,25.38293,28.9003
2.97,30.94,NaN,NaN,25.32201,28.9003
2.97,30.95,NaN,NaN,25.56892,29.3732
2.97,30.98,NaN,NaN,25.66679,29.5401
2.97,31.01,NaN,NaN,25.77339,29.6235
2.92,31.02,NaN,NaN,25.90291,29.8182
2.92,31.05,NaN,NaN,25.93161,30.0129
2.92,31.08,NaN,NaN,26.16033,30.1242
2.92,31.12,NaN,NaN,26.09944,29.707
2.92,31.21,NaN,NaN,26.46447,30.6249
2.92,31.25,NaN,NaN,26.7221,30.9865
2.92,31.28,NaN,NaN,26.96904,31.3203
2.92,31.28,NaN,NaN,26.99055,31.515
2.92,31.31,NaN,NaN,27.09257,31.9322
2.92,31.38,NaN,NaN,27.21441,32.0713
2.92,31.48,NaN,NaN,27.38391,32.3216
2.92,31.61,NaN,NaN,27.50349,32.572
2.92,31.58,NaN,NaN,27.72216,32.8779
2.92,31.55,NaN,NaN,27.76031,33.017
2.92,31.62,NaN,NaN,27.92261,33.1005
2.92,31.65,NaN,NaN,28.12521,33.4343
2.92,31.75,NaN,NaN,28.26931,33.5733
2.92,31.85,NaN,NaN,28.53601,33.9905
2.92,31.88,NaN,NaN,28.69128,34.3243
2.92,32.08,NaN,NaN,28.8377,34.5469
2.92,32.18,NaN,NaN,29.30774,35.0197
2.92,32.28,NaN,NaN,29.2317,35.0754
2.92,32.35,NaN,NaN,29.44312,35.4092
2.92,32.38,NaN,NaN,29.62433,35.576
2.92,32.45,NaN,NaN,29.70877,35.7707
2.92,32.65,NaN,NaN,29.80886,35.7986
2.97,32.75,NaN,NaN,30.04326,36.1323
2.97,32.85,NaN,NaN,30.09558,36.3827
2.97,32.88,NaN,NaN,30.02005,36.1323
2.97,32.92,NaN,NaN,30.19391,36.2158
2.97,32.9,NaN,NaN,30.24169,36.3866
3,33,NaN,NaN,30.04556,35.9739
3,33,NaN,NaN,30.02633,35.7712
3,33.1,NaN,NaN,30.2478,36.1085
3,33.1,NaN,NaN,30.13208,35.7935
3,33.3,NaN,NaN,30.35621,35.789
3,33.4,NaN,NaN,30.37738,35.7075
3.07,33.5,NaN,NaN,30.6799,36.3916
3.07,33.6,NaN,NaN,30.85027,36.3326
3.07,33.7,NaN,NaN,31.02987,36.6285
3.07,33.9,NaN,NaN,31.41703,37.1523
3.07,34,NaN,NaN,31.87478,37.5525
3.07,34.1,NaN,NaN,31.59567,37.512
3.07,34.2,NaN,NaN,31.79314,37.6465
3.07,34.3,NaN,NaN,31.98873,37.764
3.07,34.4,NaN,NaN,32.13838,37.8186
3.07,34.5,NaN,NaN,31.87422,38.2429
3.07,34.7,NaN,NaN,32.37347,38.3833
3.07,34.9,NaN,NaN,32.82172,38.3245
3.07,35,NaN,NaN,33.2207,38.4314
3.07,35.1,NaN,NaN,33.23575,38.577
3.07,35.3,NaN,NaN,33.50132,38.6536
3.07,35.4,NaN,NaN,33.92479,39.1535
3.07,35.6,NaN,NaN,34.10095,39.2772
3.07,35.7,NaN,NaN,34.38578,39.5148
3.07,35.8,NaN,NaN,34.43124,39.7677
3.25,36.1,NaN,NaN,34.77962,40.0795
3.35,36.3,NaN,NaN,35.01531,39.932
3.35,36.4,NaN,NaN,35.15253,39.7811
3.35,36.6,NaN,NaN,35.3885,40.1698
3.35,36.8,NaN,NaN,35.63979,40.3818
3.35,36.9,NaN,NaN,35.70826,40.4746
3.35,37.1,NaN,NaN,35.62043,40.4655
3.35,37.3,NaN,NaN,35.76579,40.4774
3.35,37.5,NaN,NaN,35.68682,40.0958
3.35,37.7,NaN,NaN,35.75161,39.9882
3.35,37.9,NaN,NaN,35.86796,39.2477
3.35,38.1,NaN,NaN,36.1653,39.2219
3.35,38.3,NaN,NaN,36.19958,39.171
3.35,38.5,NaN,NaN,36.25293,39.0702
3.35,38.6,NaN,NaN,36.27987,39.0247
3.35,38.8,NaN,NaN,36.23929,38.8985
3.31,38.9,NaN,NaN,36.47684,38.994
