DATES,LIP,UNEMP,LCPI,FFR,LPCOM,LRCDUR,LRCND,LRCSV,RRSHOCK,CUMRRSHOCK,CUMRRSHOCKORIG,BCSHOCK,CUMBCSHOCK,MP1_TC,FF4_TC,ED2_TC,ED3_TC,ED4_TC,GS1,EBP,szshock,rrshock83,cumrrshock83,rrshock83b,mp1_vr,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,wu_xia,lm1,lm2,ltr,lnbr,factor1,factor2,factor3,factor4,factor5
1959,3.123628443,6,3.367640598,2.48,4.607467545,2.027490136,3.365328379,2.848275804,,,,,,,,,,,3.36,,,,,,,,,,,,,2.5,4.93375425,5.658087515,2.938579742,2.357073278,,,,,
1959.083333,3.14302233,5.9,3.36729583,2.43,4.59844764,2.071157322,3.367088912,2.856067826,,,,,,,,,,,3.54,,,,,,,,,,,,,2.5,4.937347498,5.661918271,2.921547375,2.363115593,,,,,
1959.166667,3.157323773,5.6,3.366260812,2.8,4.616505696,2.07530801,3.386219098,2.85847968,,,,,,,,,,,3.61,,,,,,,,,,,,,3,4.939497266,5.66711849,2.91403403,2.3496595,,,,,
1959.25,3.178403769,5.2,3.366605937,2.96,4.630642982,2.088153482,3.369018483,2.861800801,,,,,,,,,,,3.72,,,,,,,,,,,,,3,4.939497266,5.670225691,2.927346361,2.34411084,,,,,
1959.333333,3.193356971,5.1,3.36867419,2.9,4.640826863,2.092974556,3.388686108,2.869204867,,,,,,,,,,,3.96,,,,,,,,,,,,,3.25,4.946629964,5.677438499,2.9205776,2.33379302,,,,,
1959.416667,3.194497063,5,3.371081758,3.39,4.63821804,2.104378027,3.385711424,2.876272834,,,,,,,,,,,4.07,,,,,,,,,,,,,3,4.950177325,5.683919846,2.915281149,2.306875874,,,,,
1959.5,3.170256846,5.1,3.372454913,3.47,4.623304756,2.091617118,3.380178014,2.877792976,,,,,,,,,,,4.39,,,,,,,,,,,,,3.5,4.953712147,5.687653093,2.927614019,2.317276642,,,,,
1959.583333,3.135794171,5.2,3.373483543,3.5,4.62399194,2.11335976,3.382795772,2.881779393,,,,,,,,,,,4.42,,,,,,,,,,,,,3.5,4.955122584,5.691709893,2.922677593,2.320130272,,,,,
1959.666667,3.134585107,5.5,3.375879574,3.76,4.622813621,2.13771045,3.391988443,2.887924321,,,,,,,,,,,5,,,,,,,,,,,,,3,4.94875989,5.692721527,2.924343677,2.32258378,,,,,
1959.75,3.127295481,5.7,3.379292546,3.98,4.616604564,2.081564287,3.392358433,2.890093942,,,,,,,,,,,4.8,,,,,,,,,,,,,4,4.945207489,5.692047218,2.923537854,2.317473705,,,,,
1959.833333,3.13337458,5.8,3.379292546,4,4.61244367,2.078941417,3.387977043,2.893754917,,,,,,,,,,,4.81,,,,,,,,,,,,,4,4.944495492,5.694068782,2.923806534,2.321799312,,,,,
1959.916667,3.193352868,5.3,3.381334753,3.99,4.591476859,2.034967052,3.39316521,2.899661805,,,,,,,,,,,5.14,,,,,,,,,,,,,4,4.940927882,5.69642212,2.926382195,2.319245534,,,,,
1960,3.219271746,5.2,3.379973745,3.99,4.600157644,2.04691835,3.394374156,2.901091869,,,,,,,,,,,5.03,,,,,,,,,,,,,4,4.941642423,5.697764402,2.919768735,2.321799312,-1.54164889,-0.619244106,0.020295871,0.334606198,-0.859647391
1960.083333,3.210331425,4.8,3.381334753,3.97,4.595927605,2.10193662,3.384661413,2.902629655,,,,,,,,,,,4.66,,,,,,,,,,,,,4,4.940927882,5.698769933,2.88742297,2.309957847,-0.566191335,-0.503526817,0.040776932,0.121646104,-0.380798974
1960.166667,3.201314524,5.4,3.381334753,3.84,4.594311443,2.140183804,3.401897137,2.906627798,,,,,,,,,,,4.02,,,,,,,,,,,,,4,4.94021283,5.701780472,2.877849233,2.317966195,0.028076666,-0.024815308,-0.289393123,-0.112818647,0.260740595
1960.25,3.193356971,5.2,3.385745277,3.92,4.614625345,2.174751721,3.420215387,2.913382741,,,,,,,,,,,4.04,,,,,,,,,,,,,4,4.93878119,5.704115752,2.882787515,2.318556863,0.663891879,0.068996947,-0.18809216,-0.113908856,0.069975657
1960.333333,3.19221147,5.1,3.386760334,3.85,4.617296366,2.103402179,3.391752923,2.915660399,,,,,,,,,,,4.21,,,,,,,,,,,,,3.5,4.93878119,5.706777984,2.886921368,2.336406641,-0.169806128,0.094575575,-0.378476448,-0.044038784,0.01948814
1960.416667,3.179561027,5.4,3.388112142,3.32,4.61045619,2.077940416,3.401430688,2.914359515,,,,,,,,,,,3.36,,,,,,,,,,,,,3.5,4.93878119,5.711419902,2.891149233,2.346697668,0.564123773,-0.069233431,0.148934672,-0.215278224,-0.145894777
1960.5,3.176085227,5.5,3.386083744,3.23,4.612642201,2.086665387,3.404923763,2.91316555,,,,,,,,,,,3.2,,,,,,,,,,,,,3.25,4.943069975,5.717356595,2.90164135,2.362268095,0.712733289,0.034062711,-0.227954102,-0.037919904,0.083593165
1960.583333,3.174919758,5.6,3.388112142,2.98,4.609361391,2.106570209,3.396955062,2.912078889,,,,,,,,,,,2.95,,,,,,,,,,,,,3,4.95088529,5.726521962,2.896464272,2.377878077,0.52103345,0.024808064,-0.163588092,-0.126750348,-0.080167539
1960.666667,3.164402743,5.5,3.388112142,2.6,4.594109239,2.140654226,3.394105628,2.914522218,,,,,,,,,,,3.07,,,,,,,,,,,,,3,4.950177325,5.731397642,2.872886444,2.391694268,0.318159721,0.003688054,-0.189772592,-0.083443426,-0.040925193
1960.75,3.16322357,6.1,3.392829132,2.47,4.588532545,2.131559496,3.403594506,2.919714787,,,,,,,,,,,3.04,,,,,,,,,,,,,2.75,4.948050419,5.734958092,2.883235242,2.402339926,0.490273239,-0.040630649,0.030609699,-0.255942281,-0.048698714
1960.833333,3.149006855,6.1,3.393837027,2.44,4.580467573,2.089763091,3.403893743,2.924289976,,,,,,,,,,,3.08,,,,,,,,,,,,,0.25,4.948050419,5.739471317,2.874524631,2.412873447,0.454898732,0.07878346,0.183956181,-0.081612921,-0.245239622
1960.916667,3.129729808,6.6,3.394843908,1.98,4.567468319,2.03457492,3.39050711,2.924665825,,,,,,,,,,,2.86,,,,,,,,,,,,,3,4.946629964,5.744284418,2.814210397,2.413410648,0.771649061,0.16005293,-0.025675424,-0.264103127,0.128292296
1961,3.130944752,6.6,3.395849775,1.45,4.580672554,2.014903021,3.396687226,2.930073125,,,,,,,,,,,2.81,,,,,,,,,,,,,2.25,4.949468859,5.749711407,2.816485983,2.421167809,0.922741073,0.053295493,0.070659039,-0.209513598,0.08546789
1961.083333,3.129729808,6.9,3.395849775,2.54,4.602165677,2.022077224,3.403561252,2.930179905,,,,,,,,,,,2.93,,,,,,,,,,,,,2,4.953006181,5.757323242,2.80475335,2.406584683,0.414688912,-0.243701929,0.055167345,-0.085867159,-0.190775072
1961.166667,3.135794171,6.9,3.395849775,2.02,4.619566066,2.051427795,3.415461826,2.938367956,,,,,,,,,,,2.88,,,,,,,,,,,,,2,4.955122584,5.762994334,2.80002148,2.401343865,0.515825182,-0.004391575,0.056228013,-0.083928695,-0.200630535
1961.25,3.156140477,7,3.394843908,1.49,4.629374875,2.038619547,3.414804385,2.943438479,,,,,,,,,,,2.88,,,,,,,,,,,,,0.5,4.956531035,5.768008447,2.800933195,2.403877344,0.021426679,-0.30174967,-0.043770042,-0.021175036,-0.165981472
1961.333333,3.17142776,7.1,3.395849775,1.98,4.623402954,2.053097566,3.418677052,2.949059865,,,,,,,,,,,2.87,,,,,,,,,,,,,1,4.960744524,5.775172471,2.798439201,2.392425797,-0.072893031,-0.463979712,0.184991495,0.062957763,-0.563511189
1961.416667,3.185331451,6.9,3.395849775,1.73,4.591071262,2.0587285,3.422208429,2.949688335,,,,,,,,,,,3.06,,,,,,,,,,,,,0.5,4.962145085,5.781669013,2.806446523,2.400074714,-0.308837358,-0.326571221,-0.040252127,0.043905396,-0.266193293
1961.5,3.196773355,7,3.398527153,1.17,4.59844764,2.066482941,3.414212319,2.947906644,,,,,,,,,,,2.92,,,,,,,,,,,,,2.5,4.962145085,5.785669634,2.806808973,2.404238747,-0.399597027,-0.316124724,0.035828079,-0.049091891,-0.24141728
1961.583333,3.205835164,6.6,3.399195379,2,4.604169686,2.075056943,3.41897181,2.949164638,,,,,,,,,,,3.06,,,,,,,,,,,,,1.75,4.966335035,5.791793352,2.814809738,2.413142084,-0.19016815,-0.233935685,0.143973842,0.002748902,-0.12225094
1961.666667,3.204707933,6.7,3.400530493,1.88,4.600157644,2.081190012,3.424783691,2.954337198,,,,,,,,,,,3.06,,,,,,,,,,,,,1.5,4.968423445,5.797576354,2.821616953,2.420457014,-0.405302459,-0.254394788,-0.002810388,-0.008289795,-0.032596498
1961.75,3.223712111,6.5,3.400530493,2.26,4.590056548,2.095929859,3.426182634,2.96217549,,,,,,,,,,,3.05,,,,,,,,,,,,,2,4.970507503,5.802420445,2.838669023,2.42851265,0.06335937,-0.115431508,-0.035220884,-0.171717103,0.300537093
1961.833333,3.239097972,6.1,3.400530493,2.61,4.579339426,2.123936782,3.433567762,2.968566605,,,,,,,,,,,3.07,,,,,,,,,,,,,1.75,4.97535348,5.80934297,2.84328015,2.432208861,-0.512543596,-0.397865542,-0.076676223,0.070063366,-0.340557229
