quarter,ngdp,rgdp,pgdp,ncons,ntotinv,rcons,rnri,tothours,ybus,xbus,nbus,ltfp,ltfp_I,ltfp_util,ltfp_I_util,relp,pop,civpop,baa,tbond10,tbill3,stockp_sh,stockp_ff,ford_tfp,bp_tfp_news_sr,bp_tfp_news_lr,bs_tfp_news,bzk_ist_news,bzk_ist,bzk_tfp,jpt_tfp,jpt_mei,jpt_ist,mn_tfp_p,mn_ist_p,mn_tfp_s,mn_ist_s,mn_tfp_p_n4,mn_tfp_p_n8,mn_ist_p_n4,mn_ist_p_n8,mn_tfp_s_n4,mn_tfp_s_n8,mn_ist_s_n4,mn_ist_s_n8
1947,243.1,1934.585389,12.566,156.3,35.9,1199.539524,132.4644803,122.2435005,12.205,21.479,56.822,0,0,0,0,12.04334766,142985.5781,101203.3359,3.13,,0.38,15.39,3.201758146,,,,,,,,,,,,,,,,,,,,,,
1947.25,246.3,1932.522558,12.745,160.2,34.5,1219.642177,130.6511821,121.1952527,12.245,21.581,56.74,-0.000149632,-0.009465941,-0.003057346,-0.010397957,12.43607041,143669.8281,101662,3.18,,0.38,14.59333333,3.038782597,,,,,,,,,,,,,,,,,,,,,,
1947.5,250.1,1930.230763,12.957,163.7,34.9,1223.467862,128.302268,122.1446007,12.23,21.388,57.182,-0.008890932,-0.007249426,0.001441937,0.014833494,12.41978019,144334.75,102060,3.19,,0.74,15.43,3.223299503,,,,,,,,,,,,,,,,,,,,,,
1947.75,260.3,1960.680928,13.276,167.8,43.2,1223.656384,131.4810221,122.9164863,12.484,21.667,57.619,-0.001372089,0.010933042,-0.003836874,0.000182505,12.15165545,144961,102386.3359,3.44,,0.91,15.25,3.26651144,,,,,,,,,,,,,,,,,,,,,,
1948,266.2,1989.685328,13.379,170.5,47.2,1229.71511,139.1767841,121.872893,12.702,22.159,57.323,0.022388729,0.044516031,0.025753745,0.049414404,11.8731774,145587.25,102691,3.53,,0.99,14.41,3.175182819,,,,,,,,,,,,,,,,,,,,,,
1948.25,272.9,2021.930799,13.497,174.3,50.3,1244.288978,134.4473255,122.1353902,12.967,22.612,57.345,0.042187361,0.055890969,0.047065132,0.080314354,12.05099841,146213.5,102915,3.4,,1,16.12333333,3.58613348,,,,,,,,,,,,,,,,,,,,,,
1948.5,279.5,2033.170874,13.747,177.2,52.5,1245.869367,135.097493,123.4913191,13.025,22.506,57.872,0.03325622,0.028670423,0.05025954,0.053992663,12.37073753,146844.0781,103249,3.42,,1.05,16.04,3.459846497,,,,,,,,,,,,,,,,,,,,,,
1948.75,280.7,2035.680615,13.789,178.1,51.3,1256.08294,138.3227225,123.0265683,13.011,22.627,57.503,0.034510931,0.020531395,0.056919079,0.044451899,12.63823454,147483.3281,103418,3.52,,1.14,15.55666667,3.41293335,,,,,,,,,,,,,,,,,,,,,,
1949,275.4,2007.727637,13.717,177,43.1,1258.085152,131.7425952,121.6151935,12.784,22.547,56.698,0.019100974,0.000485945,0.0517456,0.045478042,12.74496582,148122.5781,103584,3.46,,1.17,15.01333333,3.366119385,,,,,,,,,,,,,,,,,,,,,,
1949.25,271.7,2000.883718,13.579,178.6,36.2,1277.265251,126.8801329,120.7785091,12.719,22.638,56.184,0.017396445,-0.006841384,0.067379505,0.069588699,12.85156469,148761.8281,103838,3.46,,1.17,14.54666667,3.302371502,0.949669658,,,,,,,,,,,,,,,,,,,,,
1949.5,273.3,2023.095714,13.509,177.9,39.5,1279.67199,120.9229059,119.0692916,12.878,23.301,55.268,0.03433581,0.010097834,0.075648062,0.057716319,12.75929498,149444.9219,104127,3.41,,1.04,15.18,3.558951139,0.126884525,0.012631721,0.011430328,,,,,,,,,,,,,,,,,,,
1949.75,271,2004.734428,13.518,180.4,37.5,1298.869609,119.3695794,117.9191661,12.747,23.361,54.564,0.026896783,0.00351369,0.077320619,0.084826407,12.45889507,150215.6719,104428,3.34,,1.08,16.18,3.898679972,-1.130330398,0.065689519,0.010713686,,,,,,,,,,,,,,,,,,,
1950,281.2,2084.507042,13.49,183.1,46.7,1320.686671,123.0081074,118.2736578,13.367,24.424,54.729,0.069039566,0.042519657,0.097672859,0.067551029,12.2894349,150986.4219,104733,3.24,,1.1,17.14666667,4.191668987,1.099368412,-0.031311743,0.007583287,,,,,,,,,,,,,,,,,,,
1950.25,290.7,2147.289112,13.538,187,52.3,1342.426418,133.401034,120.4921354,13.806,24.678,55.944,0.089110636,0.058056992,0.094830613,0.029627033,12.29544212,151757.1719,105020,3.25,,1.15,18.34,4.462769985,0.001545128,0.006937274,0.007945375,,,,,,,,,,,,,,,,,,,
1950.5,308.5,2230.335454,13.832,200.7,58.6,1411.293158,144.1742746,123.8267855,14.387,25.072,57.383,0.109126059,0.082980743,0.094397613,0.029074677,12.20609632,152488.25,105248,3.25,,1.22,18.29666667,4.632836342,0.09863537,-0.039731063,-0.005752773,,,,,,,,,,,,,,,,,,,
1950.75,320.3,2273.243435,14.09,198.1,68.4,1368.471954,143.925806,125.4438156,14.542,25.189,57.732,0.11076026,0.082695396,0.095082333,0.037617354,12.34088089,153140,104982,3.21,,1.34,19.81666667,5.041185856,-0.610338956,0.063080661,0.016059145,,,,,,,,,,,,,,,,,,,
1951,336.4,2304.741025,14.596,209.4,64.6,1401.794082,140.0702467,128.0838746,14.695,25.196,58.324,0.105115223,0.076061413,0.088256401,0.037267456,12.43358451,153791.75,104692,3.19,,1.37,21.61333333,5.600955963,-1.565861469,0.07080549,0.016305054,,,,,,,,,,,,,,,,,,,
1951.25,344.5,2344.813504,14.692,205.1,67.4,1361.976227,141.8469218,129.497452,14.83,25.297,58.625,0.106978834,0.077835577,0.082715119,0.035494646,12.53084495,154443.5,104507,3.41,,1.49,21.8,5.69525671,-0.587264577,-0.025425525,-0.007106216,,,,,,,,,,,,,,,,,,,
1951.5,351.8,2393.034487,14.701,207.8,62,1377.984085,143.4282653,128.9251294,15.077,26.028,57.926,0.125746194,0.097134777,0.110655319,0.069700012,12.57230915,155100.9219,104543,3.5,,1.6,22.76666667,6.141530037,2.184634744,0.018430686,0.015467726,,,,,,,,,,,,,,,,,,,
1951.75,356.6,2398.278297,14.869,211.7,57.1,1385.561882,141.069026,129.2386328,15.076,25.937,58.126,0.124139838,0.097891407,0.107434474,0.069866861,12.51115814,155769.6719,104747,3.56,,1.61,23.16,6.212839127,-0.149335027,-0.005945301,-0.006101741,,,,,,,,,,,,,,,,,,,
1952,360.2,2423.467671,14.863,213.1,58.1,1388.906993,142.485995,129.7321137,15.207,26.043,58.391,0.124157292,0.091989327,0.094340767,0.050643935,12.42635999,156522,104863,3.54,,1.57,23.91666667,6.458017826,-1.166215893,0.036944922,0.006687584,,1.451525788,-1.122728709,-0.328319393,,,,,,,,,,,,,,,
1952.25,361.4,2428.437038,14.882,217.2,53,1415.906128,145.0214697,129.2311035,15.193,26.292,57.786,0.12962896,0.104177084,0.115116749,0.0916468,12.36925932,157142,105007,3.5,,1.65,23.95,6.500921726,1.065549912,-0.018221805,-0.005013944,,1.00026265,1.414615263,-1.053048254,,,,,,,,,,,,,,,
1952.5,368.1,2446.172249,15.048,219.7,57.2,1422.927461,133.6203395,129.7640013,15.293,26.38,57.972,0.131319543,0.106884803,0.107264052,0.093849768,12.1144639,157801,105343,3.51,,1.78,25.01333333,6.744183064,-1.990059427,0.036334936,0.009732267,,0.983620965,-1.089206139,-1.870913552,,,,,,,,,,,,,,,
1952.75,381.2,2526.008879,15.091,227.9,60.7,1473.554895,145.3452966,132.1717913,15.901,26.776,59.385,0.149336957,0.141290696,0.106487471,0.076082366,11.86809861,158505,105703,3.53,,1.89,25.11,6.949764729,0.623684975,-0.045796204,-0.006574943,,1.269194308,3.270731342,0.742635175,,,,,,,,,,,,,,,
1953,388.5,2573.529412,15.096,231.5,61.7,1491.047276,153.3406353,132.6451367,16.229,27.193,59.681,0.161854437,0.148198343,0.128554519,0.092655861,11.63063807,159164,106672,3.54,,1.98,26.01,7.178010464,1.861198613,0.008044118,0.005795312,,-1.55745362,-2.185326469,1.718437991,,,,,,,,,,,,,,,
