quarter,ngdp,rgdp,rcons,rcndsv,rcdur,rinv,rnri,rres,tothours,ngov,nfed,rameynews,mfev,ntaxrev,nfedtaxrev,pgdp,ybus,xbus,nbus,pop,baa,tbond10,tbill3,ffr,aftr15,pubdebt,ENDOGNRRATIO,EXOGENRRATIO,rrtaxu,TAXU,taxnews
1945,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
1945.25,,,,,,,,,,,,,,,,,,,,,,,,,,235.2,0,0,,0,0
1945.5,,,,,,,,,,,,,,,,,,,,,,,,,,235.3,0,0,,0,0
1945.75,,,,,,,,,,,,,,,,,,,,,,,,,,237.7,0,0,,0,0
1946,,,,,,,,,,,,,,,,,,,,,,,,,,240.4,-2.654071075,0,,0,0
1946.25,,,,,,,,,,,,,,,,,,,,,,,,,,241.9,0,0,,0,0
1946.5,,,,,,,,,,,,,,,,,,,,,,,,,,239.8,0,0,,0,0
1946.75,,,,,,,,,,,,,,,,,,,,,,,,,,235,0,0,,0,0
1947,243.1,1934.585389,1199.539524,1430.018166,46.58070614,222.9536704,1.324644803,1.172005804,122.2435005,40.1,26.6,0,,54.7,43,12.566,12.205,21.479,56.822,142985.5781,3.13,,0.38,,,229.3,0,0,0,0,0
1947.25,246.3,1932.522558,1219.642177,1452.379353,47.71247659,205.601907,1.306511821,1.120625859,121.1952527,40.3,26.5,7.8,,54.2,42.1,12.745,12.245,21.581,56.74,143669.8281,3.18,,0.38,,,224.3,0,0,0,0,0
1947.5,250.1,1930.230763,1223.467862,1453.731634,48.33595707,199.5197805,1.28302268,1.292123217,122.1446007,39.8,25.3,0,,53.7,41.2,12.957,12.23,21.388,57.182,144334.75,3.19,,0.74,,,221.2,0,0,0,0,0.27
1947.75,260.3,1960.680928,1223.656384,1440.672516,51.4358256,237.9247673,1.314810221,1.541561713,122.9164863,40,24.8,0,,56.4,43.4,13.276,12.484,21.667,57.619,144961,3.44,,0.91,,,218.8,0,0,0,0,0
1948,266.2,1989.685328,1229.71511,1449.718242,51.04035446,262.630759,1.391767841,1.512455516,121.872893,41.2,25.5,1.8,0.363697723,57.1,43.6,13.379,12.702,22.159,57.323,145587.25,3.53,,0.99,,,217.4,0,0,0,0,0
1948.25,272.9,2021.930799,1244.288978,1468.741691,51.45025404,278.7012411,1.344473255,1.602188355,122.1353902,43.1,26.7,3.5,-1.080736915,56,42,13.497,12.967,22.612,57.345,146213.5,3.4,,1,,,216.3,0,-1.870557426,-1.920288129,-3.741114852,0
1948.5,279.5,2033.170874,1245.869367,1467.550583,52.40590758,281.6674714,1.35097493,1.555491936,123.4913191,44.8,27.5,0,-0.441642767,55.4,41.1,13.747,13.025,22.506,57.872,146844.0781,3.42,,1.05,,,215.2,0,0,0,1.825483753,0
1948.75,280.7,2035.680615,1256.08294,1484.106992,51.6827917,268.0951137,1.383227225,1.442125237,123.0265683,46.8,28.7,0,-2.314884384,55.4,40.8,13.789,13.011,22.627,57.503,147483.3281,3.52,,1.14,,,214.4,0,0,0,0,0
1949,275.4,2007.727637,1258.085152,1491.051985,50.60036084,227.8494396,1.317425952,1.336722207,121.6151935,48.8,30.2,0,-0.426248869,54.4,39.4,13.717,12.784,22.547,56.698,148122.5781,3.46,,1.17,,,214,0,0,0,0,0
1949.25,271.7,2000.883718,1277.265251,1497.169077,55.09067006,197.5120035,1.268801329,1.310208314,120.7785091,50.6,31.3,0,-0.194184086,52.6,37.4,13.579,12.719,22.638,56.184,148761.8281,3.46,,1.17,,,214.3,0,0,0,0,0
1949.5,273.3,2023.095714,1279.67199,1489.292752,57.66671595,213.860314,1.209229059,1.419329922,119.0692916,50.6,30.5,0,-0.473580984,52.5,36.9,13.509,12.878,23.301,55.268,149444.9219,3.41,,1.04,,,215.5,0,0,0,0,0
1949.75,271,2004.734428,1298.869609,1503.301469,60.08166028,203.7932721,1.193695794,1.593433124,117.9191661,50.1,29.8,-2,-0.807013727,51.4,35.6,13.518,12.747,23.361,54.564,150215.6719,3.34,,1.08,,,217.1,0,0,0,0,0
1950,281.2,2084.507042,1320.686671,1523.338513,62.21203049,251.6570566,1.230081074,1.771539206,118.2736578,49.2,28.6,0,-0.860548947,57.1,41,13.49,13.367,24.424,54.729,150986.4219,3.24,,1.1,0.976666667,,218.3,0,0.27252907,0,0,0
1950.25,290.7,2147.289112,1342.426418,1550.556931,62.81486478,278.9482106,1.33401034,1.94523135,120.4921354,49.9,29,7.7,-0.474982266,61.7,45.1,13.538,13.806,24.678,55.944,151757.1719,3.25,,1.15,0.973333333,,219,0,0,0,0,0
1950.5,308.5,2230.335454,1411.293158,1575.476239,77.79834835,302.6234249,1.441742746,2.055853725,123.8267855,50,28.4,179.4,8.801133798,68.7,51.4,13.832,14.387,25.072,57.383,152488.25,3.25,,1.22,1.186666667,,218.6,0,0,0,0,0.35
1950.75,320.3,2273.243435,1368.471954,1561.532835,68.11208836,341.1471322,1.43925806,1.958105647,125.4438156,53.9,31.8,124,0.387468583,73.6,56.1,14.09,14.542,25.189,57.732,153140,3.21,,1.34,1.05,,217.3,1.499680919,0,0,0,0
1951,336.4,2304.741025,1401.794082,1597.55292,70.1671397,306.5388631,1.400702467,1.858703312,128.0838746,62.3,39.6,4.1,-0.159857361,82.4,64.1,14.596,14.695,25.196,58.324,153791.75,3.19,,1.37,1.223333333,,215.6,1.155015198,0,0,0,0
1951.25,344.5,2344.813504,1361.976227,1588.999268,60.09356588,313.6488436,1.418469218,1.609955617,129.497452,70,46.6,0,-0.14872389,79.4,61.1,14.692,14.83,25.297,58.625,154443.5,3.41,,1.49,0.903333333,,214.3,0,0,0,0,0
1951.5,351.8,2393.034487,1377.984085,1616.730435,59.08708497,290.5886764,1.434282653,1.505841627,128.9251294,78.3,54.3,0,-0.023297718,79,60.3,14.701,15.077,26.028,57.926,155100.9219,3.5,,1.6,1.503333333,,213.8,0,0,0,0,0
1951.75,356.6,2398.278297,1385.561882,1628.776213,58.90445465,267.4097317,1.41069026,1.518140492,129.2386328,83.6,59.3,0,0.339611329,83.2,64,14.869,15.076,25.937,58.126,155769.6719,3.56,,1.61,1.253333333,,213.7,1.551724138,0,0,0,-0.35
1952,360.2,2423.467671,1388.906993,1631.54385,59.26724138,274.1600604,1.42485995,1.562633422,129.7321137,85.3,60.9,-0.5,0.608241975,83.8,64.2,14.863,15.207,26.043,58.391,156522,3.54,,1.57,1.116666667,,214.1,0,0,0,0,0
1952.25,361.4,2428.437038,1415.906128,1662.494652,60.36295662,253.6249222,1.450214697,1.592140921,129.2311035,89.2,64.1,-4.6,0.103857425,84.2,64.3,14.882,15.193,26.292,57.786,157142,3.5,,1.65,1.576666667,,214.8,0,0,0,0,0
1952.5,368.1,2446.172249,1422.927461,1688.938653,56.85760543,267.1399215,1.336203395,1.57744588,129.7640013,91.2,66.2,0.8,0.130259076,85.1,64.7,15.048,15.293,26.38,57.972,157801,3.51,,1.78,1.536666667,,215.6,0,0,0,0,0
1952.75,381.2,2526.008879,1473.554895,1712.548735,66.53373082,286.2937459,1.453452966,1.654566942,132.1717913,93.7,68.1,0,0.690965387,88.8,67.9,15.091,15.901,26.776,59.385,158505,3.53,,1.89,1.68,,216.5,0,0,0,0,0
1953,388.5,2573.529412,1491.047276,1727.05783,68.84816242,292.8334124,1.533406353,1.68676731,132.6451367,96,69.7,-7.5,-0.527035576,90.9,69.5,15.096,16.229,27.193,59.681,159164,3.54,,1.98,1.91,,217.5,0,0,0,0,0
1953.25,392.3,2593.719008,1499.678457,1740.980475,68.38742453,294.2151893,1.549545198,1.693059299,132.4946774,98.2,71.9,-4.4,0.2132847,91.5,69.9,15.125,16.353,27.439,59.598,159752,3.76,3,2.15,1.613333333,,218.4,0,0,0,0,0
1953.5,391.7,2579.009745,1496.002558,1737.491687,68.04058837,287.9924953,1.582291126,1.628392484,131.6241375,96.9,70,-11.7,0.052111117,90.9,68.9,15.188,16.211,27.441,59.075,160450,3.86,2.92,1.96,1.583333333,,219.7,0,0,0,0,0
1953.75,386.5,2539.588672,1486.34019,1733.650255,66.12770299,267.1086905,1.568501921,1.618448637,130.013777,97,69.5,-1,0.054739719,85.8,63.8,15.219,15.902,27.37,58.1,161218,3.77,2.64,1.47,1.556666667,,221.2,0,0,0,0,0
1954,385.9,2527.839644,1491.572678,1749.974515,64.01400914,265.3518174,1.526139624,1.636164291,128.9205352,95.1,66.8,0,0.146372834,83.4,61,15.266,15.798,27.361,57.738,161909,3.61,2.44,1.06,1.19,0.421381533,223,-0.985877964,0,0,0,0
1954.25,386.7,2530.593548,1511.325424,1761.776243,67.04980843,264.565425,1.515271718,1.741105223,127.3596868,92.8,63.7,0,0.06722306,83.8,61.1,15.281,15.796,27.74,56.942,162568,3.48,2.35,0.79,0.8,0.416825235,224.5,-0.265957447,0,0,0,0
1954.5,391.6,2559.477124,1531.606086,1788.709697,67.35646176,277.7124029,1.553018205,1.845693382,126.9356899,91.4,61.3,-5,0.280114316,84.8,61.8,15.3,15.985,28.18,56.725,163295,3.49,2.35,0.88,1.03,0.462850332,225.3,0,-0.367647059,-0.372340426,-1.129201681,0
1954.75,400.3,2609.007365,1563.75454,1813.875975,71.6458125,289.5509862,1.550418493,1.962577963,128.1337041,91.6,61.2,0,0.701322782,87.2,63.8,15.343,16.339,28.603,57.124,164101,3.45,2.47,1.02,0.99,0.500538051,226.2,0,0,0,0.718870347,0
1955,413.8,2684.050075,1599.339431,1834.384013,77.92840328,318.5569879,1.576405795,2.102126955,130.0148403,92.2,60.7,4.9,0.459707798,91.9,67.8,15.417,16.889,29.028,58.182,164805,3.47,2.65,1.22,1.34,0.473704845,226.6,0.124192747,0,0,0,0
1955.25,422.2,2727.214004,1629.33824,1857.673016,82.21723936,338.0137623,1.671032786,2.13359593,131.0306009,92.8,60.9,0,-1.9123957,94.4,69.8,15.481,17.213,29.277,58.793,165470,3.5,2.76,1.48,1.5,0.460080564,226.6,0,0,0,0,0
1955.5,430.9,2763.951251,1649.497567,1873.609748,84.85260862,342.9122292,1.751299793,2.086389568,132.8397342,94.4,61.9,0,-0.066844564,96.7,71.4,15.59,17.456,29.247,59.685,166199,3.56,2.95,1.86,1.94,0.405341148,226.1,0,0,0,0,0
1955.75,437.8,2780.918503,1670.763219,1911.125606,82.63308118,351.1661029,1.805220191,2.003746844,134.3368794,93.6,60.5,0,-0.069781452,99,73,15.743,17.547,29.073,60.356,167016,3.6,2.91,2.34,2.36,0.331970364,225.2,0,0,0,0,0
1956,440.5,2770.091812,1673.361788,1931.346527,78.93114898,341.0427283,1.783448996,1.947160055,134.0663865,95.2,61,0.9,-0.791349971,100.3,73.4,15.902,17.433,28.961,60.194,167745,3.59,2.9,2.33,2.48,0.331550002,223.7,0,0,0,0,0
