application,variable,horizon,var_se,lp_se,se_ratio
Monetary Policy,lip,13,0.023714,0.042952,0.552102
Monetary Policy,lip,14,0.024216,0.045226,0.535448
Monetary Policy,lip,15,0.024635,0.047295,0.520871
Monetary Policy,lip,16,0.024972,0.049379,0.505719
Monetary Policy,lip,17,0.025232,0.051311,0.491738
Monetary Policy,lip,18,0.025418,0.053180,0.477957
Monetary Policy,lip,19,0.025534,0.055224,0.462377
Monetary Policy,lip,20,0.025585,0.056653,0.451616
Monetary Policy,lip,21,0.025575,0.058301,0.438681
Monetary Policy,lip,22,0.025509,0.060061,0.424713
Monetary Policy,lip,23,0.025390,0.061811,0.410765
Monetary Policy,lip,24,0.025222,0.063322,0.398313
Monetary Policy,lip,25,0.025010,0.064671,0.386730
Monetary Policy,lip,26,0.024758,0.065694,0.376872
Monetary Policy,lip,27,0.024470,0.066570,0.367582
Monetary Policy,lip,28,0.024149,0.067819,0.356075
Monetary Policy,lip,29,0.023799,0.068681,0.346510
Monetary Policy,lip,30,0.023423,0.069369,0.337660
Monetary Policy,lip,31,0.023026,0.070241,0.327807
Monetary Policy,lip,32,0.022609,0.071256,0.317295
Monetary Policy,lip,33,0.022177,0.071530,0.310033
Monetary Policy,lip,34,0.021732,0.072420,0.300076
Monetary Policy,lip,35,0.021276,0.073139,0.290906
Monetary Policy,lip,36,0.020814,0.073042,0.284959
Monetary Policy,lip,37,0.020347,0.073811,0.275662
Monetary Policy,lip,38,0.019878,0.074276,0.267616
Monetary Policy,lip,39,0.019408,0.074966,0.258892
Monetary Policy,lip,40,0.018941,0.075081,0.252268
Monetary Policy,lip,41,0.018477,0.075223,0.245632
Monetary Policy,lip,42,0.018020,0.075932,0.237312
Monetary Policy,lip,43,0.017569,0.075711,0.232059
Monetary Policy,lip,44,0.017128,0.075807,0.225944
Monetary Policy,lip,45,0.016697,0.075341,0.221620
Monetary Policy,lip,46,0.016277,0.075973,0.214252
Monetary Policy,lip,47,0.015870,0.076160,0.208381
Monetary Policy,lip,48,0.015476,0.076331,0.202754
Monetary Policy,lip,49,0.015097,0.076278,0.197913
Monetary Policy,lcpi,13,0.009082,0.018565,0.489165
Monetary Policy,lcpi,14,0.009100,0.019109,0.476231
Monetary Policy,lcpi,15,0.009122,0.019657,0.464077
Monetary Policy,lcpi,16,0.009146,0.020272,0.451175
Monetary Policy,lcpi,17,0.009171,0.020749,0.442005
Monetary Policy,lcpi,18,0.009197,0.021242,0.432944
Monetary Policy,lcpi,19,0.009222,0.021520,0.428504
Monetary Policy,lcpi,20,0.009246,0.021920,0.421793
Monetary Policy,lcpi,21,0.009268,0.022211,0.417291
Monetary Policy,lcpi,22,0.009290,0.022532,0.412299
Monetary Policy,lcpi,23,0.009309,0.022835,0.407674
