lag_spec,horizon,var_cov,var_b_cov,lp_cov,lp_b_cov,var_len,var_b_len,lp_len,lp_b_len
p=12,0,0.8864,0.8862,0.8864,0.8850,0.0204,0.0204,0.0204,0.0204
p=12,1,0.8769,0.8760,0.8709,0.8725,0.0365,0.0364,0.0365,0.0367
p=12,2,0.8834,0.8801,0.8780,0.8800,0.0485,0.0482,0.0488,0.0494
p=12,3,0.8802,0.8713,0.8649,0.8775,0.0594,0.0589,0.0600,0.0611
p=12,4,0.8681,0.8555,0.8607,0.8757,0.0690,0.0683,0.0696,0.0712
p=12,5,0.8641,0.8442,0.8581,0.8755,0.0766,0.0755,0.0768,0.0790
p=12,6,0.8498,0.8292,0.8576,0.8737,0.0832,0.0816,0.0829,0.0856
p=12,7,0.8580,0.8392,0.8595,0.8762,0.0897,0.0876,0.0891,0.0925
p=12,8,0.8796,0.8634,0.8577,0.8745,0.0958,0.0934,0.0952,0.0992
p=12,9,0.8790,0.8635,0.8537,0.8695,0.1015,0.0984,0.1006,0.1051
p=12,10,0.8640,0.8418,0.8502,0.8667,0.1068,0.1031,0.1057,0.1110
p=12,11,0.8540,0.8270,0.8488,0.8680,0.1123,0.1080,0.1111,0.1169
p=12,12,0.8453,0.8171,0.8516,0.8679,0.1176,0.1127,0.1164,0.1227
p=12,13,0.8849,0.8736,0.8472,0.8648,0.1203,0.1147,0.1209,0.1279
p=12,14,0.8880,0.8780,0.8469,0.8619,0.1209,0.1149,0.1250,0.1324
p=12,15,0.8820,0.8707,0.8482,0.8614,0.1208,0.1144,0.1294,0.1376
p=12,16,0.8894,0.8866,0.8491,0.8605,0.1202,0.1137,0.1338,0.1425
p=12,17,0.8129,0.7840,0.8512,0.8664,0.1193,0.1129,0.1385,0.1478
p=12,18,0.8064,0.7790,0.8553,0.8682,0.1188,0.1125,0.1435,0.1534
p=12,19,0.7779,0.7437,0.8516,0.8640,0.1188,0.1126,0.1486,0.1590
p=12,20,0.7021,0.6582,0.8525,0.8626,0.1191,0.1130,0.1536,0.1644
p=12,21,0.6555,0.5971,0.8551,0.8681,0.1198,0.1138,0.1584,0.1700
p=12,22,0.6468,0.5870,0.8580,0.8692,0.1208,0.1146,0.1632,0.1751
p=12,23,0.6426,0.5863,0.8587,0.8699,0.1218,0.1156,0.1676,0.1800
p=12,24,0.6573,0.6060,0.8575,0.8683,0.1226,0.1165,0.1718,0.1846
p=12,25,0.6627,0.6150,0.8598,0.8690,0.1237,0.1175,0.1759,0.1893
p=12,26,0.6472,0.5967,0.8597,0.8702,0.1250,0.1187,0.1800,0.1939
