lag_spec,horizon,var_cov,var_b_cov,lp_cov,lp_b_cov,var_len,var_b_len,lp_len,lp_b_len
p=15,0,0.9029,0.9009,0.9029,0.9002,0.0205,0.0205,0.0205,0.0205
p=15,1,0.8963,0.8976,0.8968,0.8950,0.0366,0.0365,0.0365,0.0367
p=15,2,0.8973,0.8991,0.8925,0.8905,0.0490,0.0487,0.0485,0.0490
p=15,3,0.8885,0.8863,0.8890,0.8871,0.0603,0.0597,0.0594,0.0605
p=15,4,0.8759,0.8692,0.8817,0.8809,0.0700,0.0691,0.0689,0.0706
p=15,5,0.8699,0.8574,0.8775,0.8753,0.0774,0.0761,0.0764,0.0786
p=15,6,0.8526,0.8333,0.8749,0.8763,0.0838,0.0820,0.0829,0.0856
p=15,7,0.8581,0.8364,0.8744,0.8740,0.0903,0.0881,0.0896,0.0929
p=15,8,0.8695,0.8455,0.8726,0.8697,0.0966,0.0939,0.0961,0.1001
p=15,9,0.8654,0.8440,0.8691,0.8652,0.1020,0.0988,0.1019,0.1064
p=15,10,0.8541,0.8292,0.8678,0.8628,0.1070,0.1031,0.1072,0.1124
p=15,11,0.8460,0.8231,0.8621,0.8610,0.1120,0.1075,0.1128,0.1186
p=15,12,0.8516,0.8276,0.8596,0.8588,0.1168,0.1115,0.1182,0.1247
p=15,13,0.8582,0.8382,0.8556,0.8575,0.1207,0.1149,0.1229,0.1299
p=15,14,0.8565,0.8341,0.8566,0.8583,0.1246,0.1180,0.1271,0.1347
p=15,15,0.8566,0.8398,0.8545,0.8554,0.1287,0.1214,0.1317,0.1399
p=15,16,0.8725,0.8592,0.8547,0.8497,0.1306,0.1227,0.1365,0.1452
p=15,17,0.7901,0.7610,0.8530,0.8476,0.1310,0.1228,0.1412,0.1506
p=15,18,0.8018,0.7780,0.8476,0.8474,0.1312,0.1231,0.1465,0.1564
p=15,19,0.8027,0.7811,0.8442,0.8431,0.1311,0.1231,0.1518,0.1622
